FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.8195484,8195484,POINT (16.40834858370112 48.18167819557619),Molitorgasse,Molitorgasse,N71,,10,https://anachb.vor.at?P=SQ&input=Wien%20Molitorgasse&start=1,
OEFFHALTESTOGD.8195485,8195485,POINT (16.408222783350197 48.18158839638906),Molitorgasse,Molitorgasse,71,,1,https://anachb.vor.at?P=SQ&input=Wien%20Molitorgasse&start=1,
OEFFHALTESTOGD.8195486,8195486,POINT (16.408222783633242 48.18161829614534),Molitorgasse,Molitorgasse,N71,,11,https://anachb.vor.at?P=SQ&input=Wien%20Molitorgasse&start=1,
OEFFHALTESTOGD.8195487,8195487,POINT (16.408222783633242 48.18161829614534),Molitorgasse,Molitorgasse,N71,,10,https://anachb.vor.at?P=SQ&input=Wien%20Molitorgasse&start=1,
OEFFHALTESTOGD.8195488,8195488,POINT (16.40767478683541 48.1819716946682),Molitorgasse,Molitorgasse,71,,1,https://anachb.vor.at?P=SQ&input=Wien%20Molitorgasse&start=1,
OEFFHALTESTOGD.8195489,8195489,POINT (16.378794137642647 48.18857188137455),Mommsengasse,Mommsengasse,13A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Mommsengasse&start=1,
OEFFHALTESTOGD.8195490,8195490,POINT (16.2435668883953 48.20813990446956),Mondweg,Mondweg,"450, 50B, 49A",,3,https://anachb.vor.at?P=SQ&input=Wien%20Mondweg&start=1,
OEFFHALTESTOGD.8195491,8195491,POINT (16.24352652538131 48.208139871993154),Mondweg,Mondweg,"450, 50B, 49A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Mondweg&start=1,
OEFFHALTESTOGD.8195492,8195492,POINT (16.243432088302978 48.20778670665676),Mondweg,Mondweg,"450, 49A",,3,https://anachb.vor.at?P=SQ&input=Wien%20Mondweg&start=1,
OEFFHALTESTOGD.8195493,8195493,POINT (16.243391725566667 48.20778667413318),Mondweg,Mondweg,"450, 49A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Mondweg&start=1,
OEFFHALTESTOGD.8195494,8195494,POINT (16.297937213726467 48.175532493643374),Montecuccoliplatz,Montecuccoliplatz,"58A, 56A, 56B, 58B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Montecuccoliplatz&start=1,
OEFFHALTESTOGD.8195495,8195495,POINT (16.2973532166296 48.1749633967367),Montecuccoliplatz,Montecuccoliplatz,8A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Montecuccoliplatz&start=1,
OEFFHALTESTOGD.8195496,8195496,POINT (16.297667715528892 48.17554449356628),Montecuccoliplatz,Montecuccoliplatz,"58A, 56A, 56B, 58B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Montecuccoliplatz&start=1,
OEFFHALTESTOGD.8195497,8195497,POINT (16.297227517530473 48.175484594721475),Montecuccoliplatz,Montecuccoliplatz,8A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Montecuccoliplatz&start=1,
OEFFHALTESTOGD.8195498,8195498,POINT (16.302168231406323 48.20235046295945),Montleartstraße,Montleartstraße,51A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Montleartstraße&start=1,
OEFFHALTESTOGD.8195499,8195499,POINT (16.302141331333246 48.20246426290333),Montleartstraße,Montleartstraße,51A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Montleartstraße&start=1,
OEFFHALTESTOGD.8195500,8195500,POINT (16.28273786251031 48.22866974934622),Moosgasse,Moosgasse,44A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Moosgasse&start=1,
OEFFHALTESTOGD.8195501,8195501,POINT (16.368212172577767 48.24876060049869),Mooslackengasse,Mooslackengasse,"5B, 11A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Mooslackengasse&start=1,
OEFFHALTESTOGD.8195502,8195502,POINT (16.203574077592673 48.2052243579306),Mooswiesengasse,Mooswiesengasse,"453, 451",,3,https://anachb.vor.at?P=SQ&input=Wien%20Mooswiesengasse&start=1,
OEFFHALTESTOGD.8195503,8195503,POINT (16.202325383212223 48.204835261022964),Mooswiesengasse,Mooswiesengasse,451,,3,https://anachb.vor.at?P=SQ&input=Wien%20Mooswiesengasse&start=1,
OEFFHALTESTOGD.8195504,8195504,POINT (16.442376743491355 48.27316653836385),Moritz-Dreger-Gasse,Moritz-Dreger-Gasse,"N25, 29A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Moritz-Dreger-Gasse&start=1,
OEFFHALTESTOGD.8195505,8195505,POINT (16.442376743491355 48.27316653836385),Moritz-Dreger-Gasse,Moritz-Dreger-Gasse,N25,,10,https://anachb.vor.at?P=SQ&input=Wien%20Moritz-Dreger-Gasse&start=1,
OEFFHALTESTOGD.8195506,8195506,POINT (16.442376743491355 48.27316653836385),Moritz-Dreger-Gasse,Moritz-Dreger-Gasse,N25,,11,https://anachb.vor.at?P=SQ&input=Wien%20Moritz-Dreger-Gasse&start=1,
OEFFHALTESTOGD.8195507,8195507,POINT (16.442179044321325 48.27314863860751),Moritz-Dreger-Gasse,Moritz-Dreger-Gasse,29A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Moritz-Dreger-Gasse&start=1,
OEFFHALTESTOGD.8195508,8195508,POINT (16.441918548940027 48.275169529109895),Moritz-Dreger-Gasse,Moritz-Dreger-Gasse,"29B, N25",,2,https://anachb.vor.at?P=SQ&input=Wien%20Moritz-Dreger-Gasse&start=1,
OEFFHALTESTOGD.8195509,8195509,POINT (16.441918548940027 48.275169529109895),Moritz-Dreger-Gasse,Moritz-Dreger-Gasse,N25,,10,https://anachb.vor.at?P=SQ&input=Wien%20Moritz-Dreger-Gasse&start=1,
OEFFHALTESTOGD.8195510,8195510,POINT (16.441918548940027 48.275169529109895),Moritz-Dreger-Gasse,Moritz-Dreger-Gasse,N25,,11,https://anachb.vor.at?P=SQ&input=Wien%20Moritz-Dreger-Gasse&start=1,
OEFFHALTESTOGD.8195511,8195511,POINT (16.441595150697392 48.275211328511624),Moritz-Dreger-Gasse,Moritz-Dreger-Gasse,29B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Moritz-Dreger-Gasse&start=1,
OEFFHALTESTOGD.8195512,8195512,POINT (16.240454356894546 48.21974651813682),Moschingergasse,Moschingergasse,52A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Moschingergasse&start=1,
OEFFHALTESTOGD.8195513,8195513,POINT (16.335800930267318 48.17626336622522),Murlingengasse,Murlingengasse,62,,1,https://anachb.vor.at?P=SQ&input=Wien%20Murlingengasse&start=1,
OEFFHALTESTOGD.8195514,8195514,POINT (16.474751834540598 48.23635269330993),Murraygasse,Murraygasse,"95A, N24, N23, 95B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Murraygasse&start=1,
OEFFHALTESTOGD.8195515,8195515,POINT (16.474751834540598 48.23635269330993),Murraygasse,Murraygasse,"N24, N23",,10,https://anachb.vor.at?P=SQ&input=Wien%20Murraygasse&start=1,
OEFFHALTESTOGD.8195516,8195516,POINT (16.474751834540598 48.23635269330993),Murraygasse,Murraygasse,"N24, N23",,11,https://anachb.vor.at?P=SQ&input=Wien%20Murraygasse&start=1,
OEFFHALTESTOGD.8195517,8195517,POINT (16.474751834540598 48.23635269330993),Murraygasse,Murraygasse,"N24, N23",,13,https://anachb.vor.at?P=SQ&input=Wien%20Murraygasse&start=1,
OEFFHALTESTOGD.8195518,8195518,POINT (16.474751834540598 48.23635269330993),Murraygasse,Murraygasse,"N24, N23",,12,https://anachb.vor.at?P=SQ&input=Wien%20Murraygasse&start=1,
OEFFHALTESTOGD.8195519,8195519,POINT (16.474482335466853 48.236478393185365),Murraygasse,Murraygasse,"95A, N23, 95B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Murraygasse&start=1,
OEFFHALTESTOGD.8195520,8195520,POINT (16.474482335466853 48.236478393185365),Murraygasse,Murraygasse,N23,,10,https://anachb.vor.at?P=SQ&input=Wien%20Murraygasse&start=1,
OEFFHALTESTOGD.8195521,8195521,POINT (16.474482335466853 48.236478393185365),Murraygasse,Murraygasse,N23,,11,https://anachb.vor.at?P=SQ&input=Wien%20Murraygasse&start=1,
OEFFHALTESTOGD.8195522,8195522,POINT (16.366828774030285 48.24497991956633),Muthgasse,Muthgasse,"5B, 11A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Muthgasse&start=1,
OEFFHALTESTOGD.8195523,8195523,POINT (16.311393812685072 48.14985120762257),Mühlbreiten,Mühlbreiten,"66A, 60A, N66, 64A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Mühlbreiten&start=1,
OEFFHALTESTOGD.8195524,8195524,POINT (16.311393812685072 48.14985120762257),Mühlbreiten,Mühlbreiten,N66,,10,https://anachb.vor.at?P=SQ&input=Wien%20Mühlbreiten&start=1,
OEFFHALTESTOGD.8195525,8195525,POINT (16.311393812685072 48.14985120762257),Mühlbreiten,Mühlbreiten,N66,,11,https://anachb.vor.at?P=SQ&input=Wien%20Mühlbreiten&start=1,
OEFFHALTESTOGD.8195526,8195526,POINT (16.310468616749045 48.149168011556014),Mühlbreiten,Mühlbreiten,"66A, 60A, N66, 64A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Mühlbreiten&start=1,
OEFFHALTESTOGD.8195527,8195527,POINT (16.310468616749045 48.149168011556014),Mühlbreiten,Mühlbreiten,N66,,10,https://anachb.vor.at?P=SQ&input=Wien%20Mühlbreiten&start=1,
OEFFHALTESTOGD.8195528,8195528,POINT (16.310468616749045 48.149168011556014),Mühlbreiten,Mühlbreiten,N66,,11,https://anachb.vor.at?P=SQ&input=Wien%20Mühlbreiten&start=1,
OEFFHALTESTOGD.8195529,8195529,POINT (16.390050027061505 48.22042872162548),Mühlfeldgasse,Mühlfeldgasse,"O, 71, 2, 5",,1,https://anachb.vor.at?P=SQ&input=Wien%20Mühlfeldgasse&start=1,
OEFFHALTESTOGD.8195530,8195530,POINT (16.522164557595193 48.20323042272535),Mühlhäufel,Mühlhäufel,88B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Mühlhäufel&start=1,
OEFFHALTESTOGD.8195531,8195531,POINT (16.47779698242156 48.20897182247291),Mühlhäufelweg,Mühlhäufelweg,N91,,13,https://anachb.vor.at?P=SQ&input=Wien%20Mühlhäufelweg&start=1,
OEFFHALTESTOGD.8195532,8195532,POINT (16.47779698242156 48.20897182247291),Mühlhäufelweg,Mühlhäufelweg,N91,,12,https://anachb.vor.at?P=SQ&input=Wien%20Mühlhäufelweg&start=1,
OEFFHALTESTOGD.8195533,8195533,POINT (16.465517073785996 48.15990106406837),Mühlsangergasse,Mühlsangergasse,"71B, 73A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Mühlsangergasse&start=1,
OEFFHALTESTOGD.8195534,8195534,POINT (16.465508074071412 48.16002696358498),Mühlsangergasse,Mühlsangergasse,"71B, N71, 73A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Mühlsangergasse&start=1,
OEFFHALTESTOGD.8195535,8195535,POINT (16.465508074071412 48.16002696358498),Mühlsangergasse,Mühlsangergasse,N71,,10,https://anachb.vor.at?P=SQ&input=Wien%20Mühlsangergasse&start=1,
OEFFHALTESTOGD.8195536,8195536,POINT (16.465508074071412 48.16002696358498),Mühlsangergasse,Mühlsangergasse,N71,,11,https://anachb.vor.at?P=SQ&input=Wien%20Mühlsangergasse&start=1,
OEFFHALTESTOGD.8195537,8195537,POINT (16.4758206844427 48.204080646957486),Mühlwasser,Mühlwasser,"95A, 93A, N91",,2,https://anachb.vor.at?P=SQ&input=Wien%20Mühlwasser&start=1,
OEFFHALTESTOGD.8195538,8195538,POINT (16.4758206844427 48.204080646957486),Mühlwasser,Mühlwasser,N91,,10,https://anachb.vor.at?P=SQ&input=Wien%20Mühlwasser&start=1,
OEFFHALTESTOGD.8195539,8195539,POINT (16.4758206844427 48.204080646957486),Mühlwasser,Mühlwasser,N91,,11,https://anachb.vor.at?P=SQ&input=Wien%20Mühlwasser&start=1,
OEFFHALTESTOGD.8195540,8195540,POINT (16.4758206844427 48.204080646957486),Mühlwasser,Mühlwasser,N91,,13,https://anachb.vor.at?P=SQ&input=Wien%20Mühlwasser&start=1,
OEFFHALTESTOGD.8195541,8195541,POINT (16.4758206844427 48.204080646957486),Mühlwasser,Mühlwasser,N91,,12,https://anachb.vor.at?P=SQ&input=Wien%20Mühlwasser&start=1,
OEFFHALTESTOGD.8195542,8195542,POINT (16.475560185833707 48.20401484725451),Mühlwasser,Mühlwasser,"93A, N91",,2,https://anachb.vor.at?P=SQ&input=Wien%20Mühlwasser&start=1,
OEFFHALTESTOGD.8195543,8195543,POINT (16.475560185833707 48.20401484725451),Mühlwasser,Mühlwasser,N91,,10,https://anachb.vor.at?P=SQ&input=Wien%20Mühlwasser&start=1,
OEFFHALTESTOGD.8195544,8195544,POINT (16.475560185833707 48.20401484725451),Mühlwasser,Mühlwasser,N91,,11,https://anachb.vor.at?P=SQ&input=Wien%20Mühlwasser&start=1,
OEFFHALTESTOGD.8195545,8195545,POINT (16.475560185833707 48.20401484725451),Mühlwasser,Mühlwasser,N91,,13,https://anachb.vor.at?P=SQ&input=Wien%20Mühlwasser&start=1,
OEFFHALTESTOGD.8195546,8195546,POINT (16.475560185833707 48.20401484725451),Mühlwasser,Mühlwasser,N91,,12,https://anachb.vor.at?P=SQ&input=Wien%20Mühlwasser&start=1,
OEFFHALTESTOGD.8195547,8195547,POINT (16.445053548551517 48.214281616957834),Mühlwasserstraße,Mühlwasserstraße,"93A, 92A, N91",,2,https://anachb.vor.at?P=SQ&input=Wien%20Mühlwasserstraße&start=1,
OEFFHALTESTOGD.8195548,8195548,POINT (16.445053548551517 48.214281616957834),Mühlwasserstraße,Mühlwasserstraße,N91,,10,https://anachb.vor.at?P=SQ&input=Wien%20Mühlwasserstraße&start=1,
OEFFHALTESTOGD.8195549,8195549,POINT (16.445053548551517 48.214281616957834),Mühlwasserstraße,Mühlwasserstraße,N91,,11,https://anachb.vor.at?P=SQ&input=Wien%20Mühlwasserstraße&start=1,
OEFFHALTESTOGD.8195550,8195550,POINT (16.445053548551517 48.214281616957834),Mühlwasserstraße,Mühlwasserstraße,N91,,13,https://anachb.vor.at?P=SQ&input=Wien%20Mühlwasserstraße&start=1,
OEFFHALTESTOGD.8195551,8195551,POINT (16.445053548551517 48.214281616957834),Mühlwasserstraße,Mühlwasserstraße,N91,,12,https://anachb.vor.at?P=SQ&input=Wien%20Mühlwasserstraße&start=1,
OEFFHALTESTOGD.8195552,8195552,POINT (16.445161348899962 48.214341417302506),Mühlwasserstraße,Mühlwasserstraße,"93A, 92A, N91",,2,https://anachb.vor.at?P=SQ&input=Wien%20Mühlwasserstraße&start=1,
OEFFHALTESTOGD.8195553,8195553,POINT (16.445161348899962 48.214341417302506),Mühlwasserstraße,Mühlwasserstraße,N91,,10,https://anachb.vor.at?P=SQ&input=Wien%20Mühlwasserstraße&start=1,
OEFFHALTESTOGD.8195554,8195554,POINT (16.445161348899962 48.214341417302506),Mühlwasserstraße,Mühlwasserstraße,N91,,11,https://anachb.vor.at?P=SQ&input=Wien%20Mühlwasserstraße&start=1,
OEFFHALTESTOGD.8195555,8195555,POINT (16.445161348899962 48.214341417302506),Mühlwasserstraße,Mühlwasserstraße,N91,,13,https://anachb.vor.at?P=SQ&input=Wien%20Mühlwasserstraße&start=1,
OEFFHALTESTOGD.8195556,8195556,POINT (16.445161348899962 48.214341417302506),Mühlwasserstraße,Mühlwasserstraße,N91,,12,https://anachb.vor.at?P=SQ&input=Wien%20Mühlwasserstraße&start=1,
OEFFHALTESTOGD.8195557,8195557,POINT (16.38059072268642 48.18450529932131),Hauptbahnhof Ost,Hauptbahnhof Ost,D,,1,https://anachb.vor.at?P=SQ&input=Wien%20Hauptbahnhof%20Ost&start=1,
OEFFHALTESTOGD.8195558,8195558,POINT (16.380482923122994 48.1845172993129),Hauptbahnhof Ost,Hauptbahnhof Ost,D,,1,https://anachb.vor.at?P=SQ&input=Wien%20Hauptbahnhof%20Ost&start=1,
OEFFHALTESTOGD.8195559,8195559,POINT (16.300227890548044 48.16683373368709),Pensionistenwohnhaus Hetzendorf,Pensionistenwohnhaus Hetzendorf,58B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Pensionistenwohnhaus%20Hetzendorf&start=1,
OEFFHALTESTOGD.8195560,8195560,POINT (16.30015599197373 48.16693553364498),Pensionistenwohnhaus Hetzendorf,Pensionistenwohnhaus Hetzendorf,58B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Pensionistenwohnhaus%20Hetzendorf&start=1,
OEFFHALTESTOGD.8195561,8195561,POINT (16.473952230682528 48.15864266455818),"Kaiserebersdorf, Münnichplatz","Kaiserebersdorf, Münnichplatz",76B,,2,"https://anachb.vor.at?P=SQ&input=Wien%20Kaiserebersdorf,%20Münnichplatz&start=1",
OEFFHALTESTOGD.8195562,8195562,POINT (16.47379053246143 48.15861276519377),"Kaiserebersdorf, Münnichplatz","Kaiserebersdorf, Münnichplatz","79A, 79B, 76B",,2,"https://anachb.vor.at?P=SQ&input=Wien%20Kaiserebersdorf,%20Münnichplatz&start=1",
OEFFHALTESTOGD.8195563,8195563,POINT (16.40492596918129 48.159853201693245),Männertreugasse,Männertreugasse,15A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Männertreugasse&start=1,
OEFFHALTESTOGD.8195564,8195564,POINT (16.404566671952665 48.159847202073585),Männertreugasse,Männertreugasse,15A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Männertreugasse&start=1,
OEFFHALTESTOGD.8195565,8195565,POINT (16.311959876227604 48.1968538834815),Reinlgasse/Märzstraße,Reinlgasse/Märzstraße,10,,1,https://anachb.vor.at?P=SQ&input=Wien%20Reinlgasse/Märzstraße&start=1,
OEFFHALTESTOGD.8195566,8195566,POINT (16.31203167484713 48.19638678564016),Reinlgasse/Märzstraße,Reinlgasse/Märzstraße,10,,1,https://anachb.vor.at?P=SQ&input=Wien%20Reinlgasse/Märzstraße&start=1,
OEFFHALTESTOGD.8195567,8195567,POINT (16.50462058465523 48.23384558680987),Aspern Nord,Aspern Nord,"99B, 99A, SV910",,2,https://anachb.vor.at?P=SQ&input=Wien%20Aspern%20Nord&start=1,
OEFFHALTESTOGD.8195568,8195568,POINT (16.50438708912862 48.2356526784235),Aspern Nord,Aspern Nord,95A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Aspern%20Nord&start=1,
OEFFHALTESTOGD.8195569,8195569,POINT (16.504629584412317 48.233761887945185),Aspern Nord,Aspern Nord,89A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Aspern%20Nord&start=1,
OEFFHALTESTOGD.8195570,8195570,POINT (16.504360085572436 48.2337737876816),Aspern Nord,Aspern Nord,"84A, N84",,2,https://anachb.vor.at?P=SQ&input=Wien%20Aspern%20Nord&start=1,
OEFFHALTESTOGD.8195571,8195571,POINT (16.504360085572436 48.2337737876816),Aspern Nord,Aspern Nord,N84,,10,https://anachb.vor.at?P=SQ&input=Wien%20Aspern%20Nord&start=1,
OEFFHALTESTOGD.8195572,8195572,POINT (16.504360085572436 48.2337737876816),Aspern Nord,Aspern Nord,N84,,11,https://anachb.vor.at?P=SQ&input=Wien%20Aspern%20Nord&start=1,
OEFFHALTESTOGD.8195573,8195573,POINT (16.504360085572436 48.2337737876816),Aspern Nord,Aspern Nord,N84,,13,https://anachb.vor.at?P=SQ&input=Wien%20Aspern%20Nord&start=1,
OEFFHALTESTOGD.8195574,8195574,POINT (16.504360085572436 48.2337737876816),Aspern Nord,Aspern Nord,N84,,12,https://anachb.vor.at?P=SQ&input=Wien%20Aspern%20Nord&start=1,
OEFFHALTESTOGD.8195575,8195575,POINT (16.31858034257005 48.19642868138885),Johnstraße/Märzstraße,Johnstraße/Märzstraße,10A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Johnstraße/Märzstraße&start=1,
OEFFHALTESTOGD.8195576,8195576,POINT (16.318274943291026 48.19603948279288),Johnstraße/Märzstraße,Johnstraße/Märzstraße,10A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Johnstraße/Märzstraße&start=1,
OEFFHALTESTOGD.8195577,8195577,POINT (16.470071506750145 48.199566271968564),Naufahrtbrücke,Naufahrtbrücke,N91,,11,https://anachb.vor.at?P=SQ&input=Wien%20Naufahrtbrücke&start=1,
OEFFHALTESTOGD.8195714,8195714,POINT (16.3769078235748 48.243992817455464),Leystraße,Leystraße,N29,,10,https://anachb.vor.at?P=SQ&input=Wien%20Leystraße&start=1,
OEFFHALTESTOGD.8195715,8195715,POINT (16.3769078235748 48.243992817455464),Leystraße,Leystraße,N29,,11,https://anachb.vor.at?P=SQ&input=Wien%20Leystraße&start=1,
OEFFHALTESTOGD.8195716,8195716,POINT (16.3299080346756 48.159092252140766),Lichtensterngasse,Lichtensterngasse,16A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Lichtensterngasse&start=1,
OEFFHALTESTOGD.8195717,8195717,POINT (16.32992603451409 48.15895435233836),Lichtensterngasse,Lichtensterngasse,16A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Lichtensterngasse&start=1,
OEFFHALTESTOGD.8195718,8195718,POINT (16.33033930455088 48.209857910006335),Thaliastraße/Haberlgasse,Thaliastraße/Haberlgasse,46,,1,https://anachb.vor.at?P=SQ&input=Wien%20Thaliastraße/Haberlgasse&start=1,
OEFFHALTESTOGD.8195719,8195719,POINT (16.329773306644483 48.209857910169944),Thaliastraße/Haberlgasse,Thaliastraße/Haberlgasse,N46,,11,https://anachb.vor.at?P=SQ&input=Wien%20Thaliastraße/Haberlgasse&start=1,
OEFFHALTESTOGD.8195720,8195720,POINT (16.329773306644483 48.209857910169944),Thaliastraße/Haberlgasse,Thaliastraße/Haberlgasse,N46,,10,https://anachb.vor.at?P=SQ&input=Wien%20Thaliastraße/Haberlgasse&start=1,
OEFFHALTESTOGD.8195721,8195721,POINT (16.329701507629693 48.209869910316144),Thaliastraße/Haberlgasse,Thaliastraße/Haberlgasse,46,,1,https://anachb.vor.at?P=SQ&input=Wien%20Thaliastraße/Haberlgasse&start=1,
OEFFHALTESTOGD.8195722,8195722,POINT (16.33026740475777 48.209846009341106),Thaliastraße/Haberlgasse,Thaliastraße/Haberlgasse,N46,,11,https://anachb.vor.at?P=SQ&input=Wien%20Thaliastraße/Haberlgasse&start=1,
OEFFHALTESTOGD.8195723,8195723,POINT (16.33026740475777 48.209846009341106),Thaliastraße/Haberlgasse,Thaliastraße/Haberlgasse,N46,,10,https://anachb.vor.at?P=SQ&input=Wien%20Thaliastraße/Haberlgasse&start=1,
OEFFHALTESTOGD.8195724,8195724,POINT (16.306902336247756 48.22246966431327),Liebknechtgasse,Liebknechtgasse,"10, 2",,1,https://anachb.vor.at?P=SQ&input=Wien%20Liebknechtgasse&start=1,
OEFFHALTESTOGD.8195725,8195725,POINT (16.306605937919894 48.222846762591104),Liebknechtgasse,Liebknechtgasse,"10, 2",,1,https://anachb.vor.at?P=SQ&input=Wien%20Liebknechtgasse&start=1,
OEFFHALTESTOGD.8195726,8195726,POINT (16.45878884406656 48.25893459608885),Tillmanngasse,Tillmanngasse,25A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Tillmanngasse&start=1,
OEFFHALTESTOGD.8195727,8195727,POINT (16.458833743120177 48.25850399811562),Tillmanngasse,Tillmanngasse,N25,,11,https://anachb.vor.at?P=SQ&input=Wien%20Tillmanngasse&start=1,
OEFFHALTESTOGD.8195728,8195728,POINT (16.458833743120177 48.25850399811562),Tillmanngasse,Tillmanngasse,N25,,10,https://anachb.vor.at?P=SQ&input=Wien%20Tillmanngasse&start=1,
OEFFHALTESTOGD.8195729,8195729,POINT (16.458627144859364 48.25897649564945),Tillmanngasse,Tillmanngasse,25A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Tillmanngasse&start=1,
OEFFHALTESTOGD.8195730,8195730,POINT (16.4573515506513 48.2591379956222),Tillmanngasse,Tillmanngasse,"N25, 25A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Tillmanngasse&start=1,
OEFFHALTESTOGD.8195731,8195731,POINT (16.4573515506513 48.2591379956222),Tillmanngasse,Tillmanngasse,N25,,10,https://anachb.vor.at?P=SQ&input=Wien%20Tillmanngasse&start=1,
OEFFHALTESTOGD.8195732,8195732,POINT (16.4573515506513 48.2591379956222),Tillmanngasse,Tillmanngasse,N25,,11,https://anachb.vor.at?P=SQ&input=Wien%20Tillmanngasse&start=1,
OEFFHALTESTOGD.8195733,8195733,POINT (16.3564981075716 48.23257118468928),Liechtenwerder Platz,Liechtenwerder Platz,D,,1,https://anachb.vor.at?P=SQ&input=Wien%20Liechtenwerder%20Platz&start=1,
OEFFHALTESTOGD.8195734,8195734,POINT (16.35560881206523 48.23246948580691),Liechtenwerder Platz,Liechtenwerder Platz,"N8, N35, N38, N36",,2,https://anachb.vor.at?P=SQ&input=Wien%20Liechtenwerder%20Platz&start=1,
OEFFHALTESTOGD.8195735,8195735,POINT (16.35560881206523 48.23246948580691),Liechtenwerder Platz,Liechtenwerder Platz,"N8, N35, N38, N36",,10,https://anachb.vor.at?P=SQ&input=Wien%20Liechtenwerder%20Platz&start=1,
OEFFHALTESTOGD.8195736,8195736,POINT (16.35560881206523 48.23246948580691),Liechtenwerder Platz,Liechtenwerder Platz,"N8, N35, N38, N36",,11,https://anachb.vor.at?P=SQ&input=Wien%20Liechtenwerder%20Platz&start=1,
OEFFHALTESTOGD.8195737,8195737,POINT (16.35560881206523 48.23246948580691),Liechtenwerder Platz,Liechtenwerder Platz,"N8, N35, N38, N36",,13,https://anachb.vor.at?P=SQ&input=Wien%20Liechtenwerder%20Platz&start=1,
OEFFHALTESTOGD.8195738,8195738,POINT (16.35560881206523 48.23246948580691),Liechtenwerder Platz,Liechtenwerder Platz,"N8, N35, N38, N36",,12,https://anachb.vor.at?P=SQ&input=Wien%20Liechtenwerder%20Platz&start=1,
OEFFHALTESTOGD.8195739,8195739,POINT (16.356659806496157 48.23251138472097),Liechtenwerder Platz,Liechtenwerder Platz,D,,1,https://anachb.vor.at?P=SQ&input=Wien%20Liechtenwerder%20Platz&start=1,
OEFFHALTESTOGD.8195740,8195740,POINT (16.54181067690136 48.21432345748512),Lieglerstraße,Lieglerstraße,98A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Lieglerstraße&start=1,
OEFFHALTESTOGD.8195741,8195741,POINT (16.282890431068722 48.134673797661634),Liesing,Liesing,"66A, N66",,2,https://anachb.vor.at?P=SQ&input=Wien%20Liesing&start=1,
OEFFHALTESTOGD.8195742,8195742,POINT (16.282890431068722 48.134673797661634),Liesing,Liesing,N66,,10,https://anachb.vor.at?P=SQ&input=Wien%20Liesing&start=1,
OEFFHALTESTOGD.8195743,8195743,POINT (16.282890431068722 48.134673797661634),Liesing,Liesing,N66,,11,https://anachb.vor.at?P=SQ&input=Wien%20Liesing&start=1,
OEFFHALTESTOGD.8195744,8195744,POINT (16.28315533574812 48.13490161567913),Liesing,Liesing,"207, 61B",,3,https://anachb.vor.at?P=SQ&input=Wien%20Liesing&start=1,
OEFFHALTESTOGD.8195745,8195745,POINT (16.28311503013369 48.13490159712128),Liesing,Liesing,"207, 61B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Liesing&start=1,
OEFFHALTESTOGD.8195746,8195746,POINT (16.282998229702354 48.13478169774277),Liesing,Liesing,64A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Liesing&start=1,
OEFFHALTESTOGD.8195747,8195747,POINT (16.283236135824602 48.134979514969054),Liesing,Liesing,255,,3,https://anachb.vor.at?P=SQ&input=Wien%20Liesing&start=1,
