FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.8202794,8202794,POINT (16.327725164205994 48.17208189164331),Wienerbergbrücke,Wienerbergbrücke,"7A, N62",,2,https://anachb.vor.at?P=SQ&input=Wien%20Wienerbergbrücke&start=1,
OEFFHALTESTOGD.8202795,8202795,POINT (16.327725164205994 48.17208189164331),Wienerbergbrücke,Wienerbergbrücke,N62,,10,https://anachb.vor.at?P=SQ&input=Wien%20Wienerbergbrücke&start=1,
OEFFHALTESTOGD.8202796,8202796,POINT (16.327725164205994 48.17208189164331),Wienerbergbrücke,Wienerbergbrücke,N62,,11,https://anachb.vor.at?P=SQ&input=Wien%20Wienerbergbrücke&start=1,
OEFFHALTESTOGD.8202797,8202797,POINT (16.301054383433332 48.2362750021378),Schafbergbad,Schafbergbad,42A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Schafbergbad&start=1,
OEFFHALTESTOGD.8202798,8202798,POINT (16.297784502245225 48.2378724959429),Schafberghöhe,Schafberghöhe,42A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Schafberghöhe&start=1,
OEFFHALTESTOGD.8203488,8203488,POINT (16.37486857469358 48.20187141974775),Schwarzenbergplatz,Schwarzenbergplatz,"N60, N66, N25, N75, N38",,11,https://anachb.vor.at?P=SQ&input=Wien%20Schwarzenbergplatz&start=1,
OEFFHALTESTOGD.8203489,8203489,POINT (16.373853476763 48.1996381313799),Schwarzenbergplatz (Lothringerstraße),Schwarzenbergplatz (Lothringerstraße),"N75, N71, 4A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Schwarzenbergplatz&start=1,
OEFFHALTESTOGD.8203490,8203490,POINT (16.373853476763 48.1996381313799),Schwarzenbergplatz (Lothringerstraße),Schwarzenbergplatz (Lothringerstraße),"N75, N71",,10,https://anachb.vor.at?P=SQ&input=Wien%20Schwarzenbergplatz&start=1,
OEFFHALTESTOGD.8203491,8203491,POINT (16.373853476763 48.1996381313799),Schwarzenbergplatz (Lothringerstraße),Schwarzenbergplatz (Lothringerstraße),"N75, N71",,11,https://anachb.vor.at?P=SQ&input=Wien%20Schwarzenbergplatz&start=1,
OEFFHALTESTOGD.8203492,8203492,POINT (16.328713231081878 48.152278485691376),Schwarzenhaidestraße,Schwarzenhaidestraße,"66A, N66, 67B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Schwarzenhaidestraße&start=1,
OEFFHALTESTOGD.8203493,8203493,POINT (16.328713231081878 48.152278485691376),Schwarzenhaidestraße,Schwarzenhaidestraße,N66,,10,https://anachb.vor.at?P=SQ&input=Wien%20Schwarzenhaidestraße&start=1,
OEFFHALTESTOGD.8203494,8203494,POINT (16.328713231081878 48.152278485691376),Schwarzenhaidestraße,Schwarzenhaidestraße,N66,,11,https://anachb.vor.at?P=SQ&input=Wien%20Schwarzenhaidestraße&start=1,
OEFFHALTESTOGD.8203495,8203495,POINT (16.328003634752914 48.152428384687134),Schwarzenhaidestraße,Schwarzenhaidestraße,"66A, N66, 67B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Schwarzenhaidestraße&start=1,
OEFFHALTESTOGD.8203496,8203496,POINT (16.328003634752914 48.152428384687134),Schwarzenhaidestraße,Schwarzenhaidestraße,N66,,10,https://anachb.vor.at?P=SQ&input=Wien%20Schwarzenhaidestraße&start=1,
OEFFHALTESTOGD.8203497,8203497,POINT (16.328003634752914 48.152428384687134),Schwarzenhaidestraße,Schwarzenhaidestraße,N66,,11,https://anachb.vor.at?P=SQ&input=Wien%20Schwarzenhaidestraße&start=1,
OEFFHALTESTOGD.8203498,8203498,POINT (16.328731231745422 48.15276398283068),Schwarzenhaidestraße,Schwarzenhaidestraße,65A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Schwarzenhaidestraße&start=1,
OEFFHALTESTOGD.8203499,8203499,POINT (16.373539186210813 48.27707676190409),Voltelinistraße,Voltelinistraße,34A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Voltelinistraße&start=1,
OEFFHALTESTOGD.8203500,8203500,POINT (16.373467286184155 48.27704686268271),Voltelinistraße,Voltelinistraße,34A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Voltelinistraße&start=1,
OEFFHALTESTOGD.8203501,8203501,POINT (16.374742753135084 48.18607449534386),Hauptbahnhof,Hauptbahnhof,"O, 1, 18",,1,https://anachb.vor.at?P=SQ&input=Wien%20Hauptbahnhof&start=1,
OEFFHALTESTOGD.8203502,8203502,POINT (16.33828036339085 48.20863071006371),Thaliastraße,Thaliastraße,N46,,11,https://anachb.vor.at?P=SQ&input=Wien%20Thaliastraße&start=1,
OEFFHALTESTOGD.8203503,8203503,POINT (16.33828036339085 48.20863071006371),Thaliastraße,Thaliastraße,N46,,10,https://anachb.vor.at?P=SQ&input=Wien%20Thaliastraße&start=1,
OEFFHALTESTOGD.8203504,8203504,POINT (16.37684028515236 48.18431358797819),Hauptbahnhof Süd,Hauptbahnhof Süd,VAL 1,,3,https://anachb.vor.at?P=SQ&input=Wien%20Hauptbahnhof%20Süd&start=1,
OEFFHALTESTOGD.8203505,8203505,POINT (16.373565957774915 48.185182100388715),Hauptbahnhof,Hauptbahnhof,N66,,11,https://anachb.vor.at?P=SQ&input=Wien%20Hauptbahnhof&start=1,
OEFFHALTESTOGD.8203506,8203506,POINT (16.373565957774915 48.185182100388715),Hauptbahnhof,Hauptbahnhof,N66,,10,https://anachb.vor.at?P=SQ&input=Wien%20Hauptbahnhof&start=1,
OEFFHALTESTOGD.8203507,8203507,POINT (16.37459005487501 48.18612239501821),Hauptbahnhof,Hauptbahnhof,"1, 18",,1,https://anachb.vor.at?P=SQ&input=Wien%20Hauptbahnhof&start=1,
